ID,Type,Navigation Efficiency,Payload Capacity,Safety,Communication Effectiveness,Adaptability,Energy Efficiency
D1,Drone,7,5,9,4,2.7,9
D2,Drone,4,9,8,4,9.2,7
D3,Drone,7,5,8,6,4.8,9
D4,Drone,6,6,4,9,9.1,8
D5,Drone,5,6,8,7,7.2,6
D6,Drone,5,6,6,6,3.2,5
D7,Drone,5,6,4,5,9.3,7
D8,Drone,5,9,5,5,4.6,5
D9,Drone,8,8,8,6,5,4
D10,Drone,6,5,9,7,7.7,8
D11,Drone,4,7,8,7,5.6,7
D12,Drone,4,8,7,7,5.6,9
D13,Drone,4,5,9,9,3.8,6
D14,Drone,7,6,4,5,3.8,8
D15,Drone,8,6,8,8,9.3,7
D16,Drone,4,9,7,6,6.6,8
D17,Drone,8,7,5,8,3.4,8
D18,Drone,7,8,4,5,5.8,8
D19,Drone,4,6,5,6,3.9,5
D20,Drone,9,6,9,8,8.1,8
D21,Drone,8,9,9,5,8.8,9
D22,Drone,9,9,5,7,7.9,9
D23,Drone,4,9,5,9,8.2,6
D24,Drone,4,7,8,6,2.2,7
D25,Drone,8,9,4,6,7.2,5
D26,Drone,7,4,6,5,7.8,5
D27,Drone,5,4,7,5,4.8,7
D28,Drone,5,5,7,7,6.5,9
D29,Drone,8,9,8,5,9.4,4
D30,Drone,8,4,6,8,5,8
D31,Drone,8,5,5,5,4.5,9
D32,Drone,6,8,5,8,7.7,5
D33,Drone,4,4,5,8,7.8,4
D34,Drone,4,7,6,7,3.9,9
D35,Drone,8,4,6,4,5.2,9
D36,Drone,9,9,9,6,1,8
D37,Drone,9,5,5,7,1.3,6
D38,Drone,8,4,8,5,5.1,5
D39,Drone,4,7,7,7,7.2,4
D40,Drone,7,7,8,4,2.1,7
D41,Drone,8,5,7,5,2.8,6
D42,Drone,8,5,9,5,6.2,9
D43,Drone,6,8,5,4,6.9,7
D44,Drone,6,7,7,4,5.5,4
D45,Drone,7,6,4,8,0.9,4
D46,Drone,8,5,6,8,4.6,9
D47,Drone,5,7,7,9,7.8,5
D48,Drone,8,4,6,8,3.8,6
D49,Drone,8,9,5,7,8.8,5
D50,Drone,7,9,6,5,7.6,5
D51,Drone,6,8,5,4,8,8
D52,Drone,9,8,7,7,0.6,6
D53,Drone,7,4,4,5,6.8,5
D54,Drone,9,6,7,9,4.4,8
D55,Drone,6,4,6,5,4,8
D56,Drone,6,6,5,5,6.6,4
D57,Drone,4,5,5,8,8.7,5
D58,Drone,8,8,9,7,2.6,7
D59,Drone,8,7,8,8,3.5,4
D60,Drone,4,5,7,4,4.3,5
D61,Drone,4,6,7,5,1.3,8
D62,Drone,6,4,6,4,8.2,5
D63,Drone,5,6,9,9,7.8,5
D64,Drone,5,8,8,5,3.8,6
D65,Drone,5,7,7,8,3.6,6
D66,Drone,8,4,4,7,8.8,5
D67,Drone,8,4,6,7,3.3,5
D68,Drone,6,4,8,5,3.3,4
D69,Drone,6,6,5,8,1.2,7
D70,Drone,4,7,9,4,1.8,8
D71,Drone,6,9,6,7,1.7,5
D72,Drone,7,5,4,4,7,4
D73,Drone,9,5,7,5,4.5,8
D74,Drone,4,6,8,4,6.2,9
D75,Drone,9,4,6,5,1.2,8
D76,Drone,8,9,4,8,8.9,4
D77,Drone,7,9,9,5,5.4,6
D78,Drone,9,7,7,9,0.5,4
D79,Drone,7,7,5,8,0.8,7
D80,Drone,6,9,6,4,3.1,7
D81,Drone,5,6,5,6,4.4,4
D82,Drone,8,8,9,7,3.9,7
D83,Drone,9,6,7,6,0.8,5
D84,Drone,7,5,9,4,9.3,6
D85,Drone,7,9,7,5,8.3,4
D86,Drone,9,9,8,4,6,8
D87,Drone,4,6,7,7,6.6,5
D88,Drone,6,8,7,8,4.2,5
D89,Drone,5,5,5,4,1.2,5
D90,Drone,4,4,7,7,5.5,8
D91,Drone,6,7,4,8,6.6,4
D92,Drone,5,7,6,7,1,4
D93,Drone,7,6,5,5,7.3,5
D94,Drone,8,5,7,4,2.5,9
D95,Drone,7,9,7,4,5.9,7
D96,Drone,9,6,8,8,8.9,7
D97,Drone,8,5,5,4,8,9
D98,Drone,8,7,5,9,6.5,8
D99,Drone,7,5,6,9,6.6,9
D100,Drone,8,8,6,9,1.6,9
G1,Ground Robot,6,9,7,9,2,8
G2,Ground Robot,4,6,7,4,1.8,7
G3,Ground Robot,4,7,4,6,4.6,5
G4,Ground Robot,8,9,6,6,5.6,6
G5,Ground Robot,5,8,6,9,5.9,7
G6,Ground Robot,8,7,5,7,8.4,5
G7,Ground Robot,4,7,9,5,4.4,7
G8,Ground Robot,8,6,9,9,1.2,4
G9,Ground Robot,8,5,9,8,9.4,9
G10,Ground Robot,6,6,8,4,5.5,7
G11,Ground Robot,6,5,6,6,8.4,4
G12,Ground Robot,5,7,4,4,3.4,4
G13,Ground Robot,8,9,5,8,5.4,4
G14,Ground Robot,7,5,4,8,1.2,7
G15,Ground Robot,8,7,8,4,5.4,4
G16,Ground Robot,5,4,4,5,1.4,7
G17,Ground Robot,6,6,8,5,7.4,5
G18,Ground Robot,8,4,8,5,6.4,4
G19,Ground Robot,7,8,7,8,7.4,8
G20,Ground Robot,6,5,6,8,6.2,9
G21,Ground Robot,9,5,5,9,2.7,7
G22,Ground Robot,5,9,8,4,8,4
G23,Ground Robot,7,7,9,6,3.5,4
G24,Ground Robot,8,8,4,7,3.2,5
G25,Ground Robot,5,7,7,9,5.5,6
G26,Ground Robot,4,5,9,6,1.9,4
G27,Ground Robot,8,5,5,5,5.3,4
G28,Ground Robot,6,4,4,8,3.7,5
G29,Ground Robot,7,7,5,9,6.9,7
G30,Ground Robot,6,6,5,9,8.7,8
G31,Ground Robot,7,7,7,7,4.8,9
G32,Ground Robot,8,5,5,4,4.3,5
G33,Ground Robot,9,9,9,8,3.1,5
G34,Ground Robot,9,7,4,4,2,5
G35,Ground Robot,7,7,6,5,3.9,5
G36,Ground Robot,8,6,4,8,8.9,9
G37,Ground Robot,6,7,9,9,7.6,8
G38,Ground Robot,4,5,5,8,6,9
G39,Ground Robot,8,4,4,7,3.5,8
G40,Ground Robot,5,4,8,9,8.1,9
G41,Ground Robot,8,8,9,6,0.9,5
G42,Ground Robot,8,5,7,6,6.7,8
G43,Ground Robot,4,4,9,5,9,5
G44,Ground Robot,8,7,8,8,3.4,7
G45,Ground Robot,5,4,4,5,1.5,4
G46,Ground Robot,8,6,7,4,4.1,6
G47,Ground Robot,7,5,8,6,3.8,9
G48,Ground Robot,4,4,4,6,7,4
G49,Ground Robot,4,7,5,5,1.5,7
G50,Ground Robot,7,7,8,8,2.1,4
G51,Ground Robot,9,4,7,9,7.4,5
G52,Ground Robot,5,5,7,7,7.3,8
G53,Ground Robot,8,9,5,8,4.1,5
G54,Ground Robot,9,7,9,9,7.9,4
G55,Ground Robot,6,4,4,7,1.9,7
G56,Ground Robot,7,4,5,4,1.2,7
G57,Ground Robot,8,4,6,9,7.5,7
G58,Ground Robot,4,8,5,4,6.4,7
G59,Ground Robot,6,5,6,6,5.1,8
G60,Ground Robot,5,7,5,7,9.2,4
G61,Ground Robot,6,6,6,8,2.6,9
G62,Ground Robot,4,9,4,4,6.8,8
G63,Ground Robot,9,9,9,7,3.6,7
G64,Ground Robot,8,6,7,6,2.4,6
G65,Ground Robot,4,7,5,4,7.7,8
G66,Ground Robot,5,5,4,6,0.8,5
G67,Ground Robot,8,6,8,5,8.4,8
G68,Ground Robot,7,4,6,6,8.8,8
G69,Ground Robot,5,6,7,6,3.6,7
G70,Ground Robot,5,7,9,5,3.6,5
G71,Ground Robot,6,6,7,7,2.8,8
G72,Ground Robot,7,6,6,9,2.8,4
G73,Ground Robot,7,6,6,8,6.9,4
G74,Ground Robot,7,9,7,9,4.7,9
G75,Ground Robot,6,8,8,4,4.5,6
G76,Ground Robot,6,5,5,4,4.7,6
G77,Ground Robot,8,9,6,9,7.3,5
G78,Ground Robot,4,9,6,7,4.6,9
G79,Ground Robot,9,7,9,4,7.3,9
G80,Ground Robot,5,7,4,4,3.1,5
G81,Ground Robot,6,6,5,8,3.2,8
G82,Ground Robot,9,7,9,9,0.9,7
G83,Ground Robot,8,7,7,4,6,5
G84,Ground Robot,8,7,4,8,9.2,8
G85,Ground Robot,6,5,9,8,5.4,9
G86,Ground Robot,8,6,8,9,6.9,8
G87,Ground Robot,8,5,6,9,9.2,8
G88,Ground Robot,4,7,8,9,2.3,4
G89,Ground Robot,9,8,6,5,3.9,9
G90,Ground Robot,9,4,9,7,0.5,9
G91,Ground Robot,4,5,9,5,0.9,9
G92,Ground Robot,7,4,7,9,3.9,9
G93,Ground Robot,5,7,6,5,3.7,8
G94,Ground Robot,5,9,5,5,8.3,5
G95,Ground Robot,7,9,8,8,2.1,7
G96,Ground Robot,8,9,6,9,2.8,4
G97,Ground Robot,4,5,9,6,1.2,7
G98,Ground Robot,4,6,4,7,9.3,6
G99,Ground Robot,9,9,8,9,3.9,9
G100,Ground Robot,8,8,4,8,6.3,4
C1,Creeper Robot,4,9,6,5,2.5,4
C2,Creeper Robot,7,6,9,5,1.6,8
C3,Creeper Robot,9,8,8,6,6.6,7
C4,Creeper Robot,7,8,9,8,7.2,4
C5,Creeper Robot,8,4,8,7,7.8,6
C6,Creeper Robot,8,7,6,7,1.6,5
C7,Creeper Robot,5,6,4,9,4.5,8
C8,Creeper Robot,7,7,7,7,8.1,4
C9,Creeper Robot,9,5,4,4,1.6,7
C10,Creeper Robot,4,4,9,8,4.6,8
C11,Creeper Robot,6,5,5,7,1.3,5
C12,Creeper Robot,5,8,8,4,7,9
C13,Creeper Robot,8,5,9,9,8.9,9
C14,Creeper Robot,9,6,9,5,3.7,7
C15,Creeper Robot,7,4,5,8,8.4,7
C16,Creeper Robot,8,5,6,8,7,4
C17,Creeper Robot,7,8,6,6,4.6,7
C18,Creeper Robot,5,6,4,9,5.1,8
C19,Creeper Robot,4,5,9,5,6.4,5
C20,Creeper Robot,8,7,8,9,3.5,8
C21,Creeper Robot,5,9,8,4,1.4,5
C22,Creeper Robot,6,4,8,5,8.3,4
C23,Creeper Robot,7,4,8,7,0.6,8
C24,Creeper Robot,4,7,8,5,6.6,7
C25,Creeper Robot,5,5,5,7,8.5,8
C26,Creeper Robot,8,8,7,5,0.9,9
C27,Creeper Robot,4,8,8,8,6.3,9
C28,Creeper Robot,9,5,4,7,3.5,6
C29,Creeper Robot,6,5,5,4,2.7,9
C30,Creeper Robot,7,6,7,7,3.4,9
C31,Creeper Robot,7,5,9,7,3.9,8
C32,Creeper Robot,5,9,4,8,3.4,9
C33,Creeper Robot,5,9,9,9,2.1,4
C34,Creeper Robot,4,7,7,5,4.1,8
C35,Creeper Robot,9,4,6,7,2.1,6
C36,Creeper Robot,8,8,7,5,5.2,6
C37,Creeper Robot,5,5,9,9,1,6
C38,Creeper Robot,9,6,6,7,9.5,7
C39,Creeper Robot,8,7,4,5,4.5,6
C40,Creeper Robot,6,9,5,5,4.5,5
C41,Creeper Robot,7,4,4,5,8.6,4
C42,Creeper Robot,4,9,5,5,4.9,8
C43,Creeper Robot,5,7,8,6,7.3,5
C44,Creeper Robot,5,4,9,6,6.7,7
C45,Creeper Robot,7,4,5,7,7.1,8
C46,Creeper Robot,6,4,7,5,9,6
C47,Creeper Robot,6,5,7,5,6.5,5
C48,Creeper Robot,5,5,9,5,5.9,9
C49,Creeper Robot,9,7,6,6,6.8,5
C50,Creeper Robot,6,6,5,5,9,4
C51,Creeper Robot,6,7,6,5,2.5,8
C52,Creeper Robot,5,4,9,6,5.7,9
C53,Creeper Robot,4,7,8,5,4.2,7
C54,Creeper Robot,9,8,5,9,9.3,7
C55,Creeper Robot,9,5,4,5,1.7,4
C56,Creeper Robot,8,4,9,7,7.5,4
C57,Creeper Robot,6,4,9,6,2.2,7
C58,Creeper Robot,5,9,5,6,4,9
C59,Creeper Robot,7,9,9,5,8.3,6
C60,Creeper Robot,6,7,5,6,8.2,6
C61,Creeper Robot,8,8,8,4,5.7,4
C62,Creeper Robot,7,4,6,9,1.5,7
C63,Creeper Robot,8,8,9,9,4.6,4
C64,Creeper Robot,6,7,4,4,1,6
C65,Creeper Robot,5,5,4,9,3.6,9
C66,Creeper Robot,8,8,9,6,3,7
C67,Creeper Robot,6,6,7,5,2.7,9
C68,Creeper Robot,8,6,7,4,8.7,8
C69,Creeper Robot,8,4,7,8,1.7,9
C70,Creeper Robot,7,5,4,7,8.4,5
C71,Creeper Robot,6,5,7,7,4.4,7
C72,Creeper Robot,9,6,4,6,1.2,4
C73,Creeper Robot,4,8,4,5,6.5,7
C74,Creeper Robot,4,5,4,6,9.3,8
C75,Creeper Robot,7,4,9,8,3.5,5
C76,Creeper Robot,6,8,9,9,1.5,8
C77,Creeper Robot,5,4,5,4,9.1,7
C78,Creeper Robot,4,9,8,8,5.5,9
C79,Creeper Robot,5,9,9,8,3.7,4
C80,Creeper Robot,4,5,7,9,8.9,6
C81,Creeper Robot,9,8,6,8,5.2,5
C82,Creeper Robot,8,9,6,8,8.5,5
C83,Creeper Robot,4,7,6,5,5,5
C84,Creeper Robot,6,5,4,9,3.6,4
C85,Creeper Robot,7,4,4,4,5.4,5
C86,Creeper Robot,9,4,6,8,6.2,9
C87,Creeper Robot,6,9,8,6,3.6,8
C88,Creeper Robot,7,5,9,5,4.6,4
C89,Creeper Robot,8,5,8,9,3.5,5
C90,Creeper Robot,7,8,9,5,8,7
C91,Creeper Robot,8,6,7,4,4.1,4
C92,Creeper Robot,7,5,4,7,5.6,5
C93,Creeper Robot,7,6,6,6,2.1,6
C94,Creeper Robot,4,6,9,6,9.3,8
C95,Creeper Robot,4,9,7,6,1.2,6
C96,Creeper Robot,5,8,8,4,3.9,4
C97,Creeper Robot,9,4,7,4,4.2,7
C98,Creeper Robot,4,7,7,5,5.5,6
C99,Creeper Robot,5,7,7,6,9.2,4
C100,Creeper Robot,9,6,4,4,7.4,7
