index,domain,architecture,standby_pool,success_rate,deadlock_rate,mean_recovery_latency,mean_traceability_time,mean_traceability_steps,invalid_propagation_rate,n
0,sar_aerial,ahtovik,6,0.146667,0.853333,2.241077,0.050000,1.000000,0.000000,300
1,sar_aerial,ahtovik,10,0.396667,0.603333,2.669360,0.050000,1.000000,0.000000,300
2,sar_aerial,ahtovik,15,0.633333,0.366667,2.832215,0.050000,1.000000,0.000000,300
3,sar_aerial,ahtovik,20,0.776667,0.223333,2.756757,0.050000,1.000000,0.000000,300
4,sar_aerial,ahtovik,25,0.830000,0.170000,2.704762,0.050000,1.000000,0.000000,300
5,sar_aerial,mapek,6,0.186667,0.813333,19.823000,1.849281,36.985611,0.886667,300
6,sar_aerial,mapek,10,0.380000,0.620000,18.389667,1.863108,37.262167,0.770000,300
7,sar_aerial,mapek,15,0.566667,0.433333,16.899000,1.837428,36.748556,0.580000,300
8,sar_aerial,mapek,20,0.643333,0.356667,16.354333,1.837078,36.741556,0.550000,300
9,sar_aerial,mapek,25,0.710000,0.290000,15.752333,1.838558,36.771167,0.523333,300
10,software_mas,ahtovik,6,0.273333,0.726667,3.016000,0.050000,1.000000,0.000000,300
11,software_mas,ahtovik,10,0.600000,0.400000,3.162667,0.050000,1.000000,0.000000,300
12,software_mas,ahtovik,15,0.826667,0.173333,2.928000,0.050000,1.000000,0.000000,300
13,software_mas,ahtovik,20,0.886667,0.113333,2.696000,0.050000,1.000000,0.000000,300
14,software_mas,ahtovik,25,0.920000,0.080000,2.605333,0.050000,1.000000,0.000000,300
15,software_mas,mapek,6,0.290000,0.710000,19.378667,1.833794,36.675889,0.736667,300
16,software_mas,mapek,10,0.523333,0.476667,17.615667,1.828758,36.575167,0.480000,300
17,software_mas,mapek,15,0.686667,0.313333,16.655333,1.827517,36.550333,0.380000,300
18,software_mas,mapek,20,0.783333,0.216667,15.666333,1.857997,37.159944,0.276667,300
19,software_mas,mapek,25,0.870000,0.130000,14.648667,1.875650,37.513000,0.176667,300
